Bol Radha Bol Sangam Hoga Ke Nahin,Sangam,Bhairavi,not available.txt
Mile Sur Mera Tumhara,,Bhairavi,not available.txt
Insaf Ka Mandir Hai Yeh Bhagwan Ka Ghar Hai,Amar,Bhairavi,not available.txt
Beshaq Mandir Masjid Todo,Bobby,Bhairavi,not available.txt
Jab Dil Hi Toot Gaya,Shah Jahan,Bhairavi,not available.txt
Suno Chotisi Gudiya Ki,Seema,Bhairavi,not available.txt
Ja Re Ja Re Ud Ja Re Panchi,Maaya,Bhairavi,not available.txt
Kabhi Neki Bhi Uske Ji Mein,Ghazal,Bhairavi,not available.txt
Mitwa Re Mitwa Purab Na Jaiyo,Jawab,Bhairavi,not available.txt
Mata Saraswati Sharda,,Bhairavi,not available.txt
Kaise Jaun Jamuna Ke Tir,Devta,Bhairavi,not available.txt
Barsaat Mein Humse Mile Tum,Barsaat,Bhairavi,not available.txt
Sanvare Sanvare,Anuradha,Bhairavi,not available.txt
Hume Tumse Pyar Kitna,Kudrat,Bhairavi,not available.txt
Meri Tanhaiyon Tum Hi Lagalo Mujhko,Ghazal,Bhairavi,not available.txt
Baki Kuch Bacha To,Roti Kapda Aur Makan,Bhairavi,not available.txt
Jo Bhaje Hari Ko Sada,,Bhairavi,not available.txt
Mera Joota Hai Japani,Shri 420,Bhairavi,not available.txt
Kaise Samjhaoon Bade,Sooraj,Bhairavi,not available.txt
Jay Bolo Beimaan Ki,Beimaan,Bhairavi,not available.txt
Bhari Duniya Mein,Do Badan,Bhairavi,not available.txt
Babul Mora Naihar Chooto,Street Singer,Bhairavi,not available.txt
Aai Diwali Aai Diwali,Ratan,Bhairavi,not available.txt
Khamosh Hai,Amar,Bhairavi,not available.txt
Mukund Madhav Hari Bol,,Bhairavi,not available.txt
Heer (Doli Chadhake Heer),Heer Ranjha,Bhairavi,not available.txt
Sunai Deti Hai Jiski Dhadkan,Ghulami,Bhairavi,not available.txt
Laaga Chunari Mein Daag,Dil Hi To Hai,Bhairavi,not available.txt
Dost Dost Na Raha,Sangam,Bhairavi,not available.txt
Ae Mere DIl Kahin Aur Chal,Daag,Bhairavi,not available.txt
Sajna Sajna Kahe Bhool Gaye,Chand Mere Aaja,Bhairavi,not available.txt
Yeh Dil Yeh Pagal Dil Mera,Ghazal,Bhairavi,not available.txt
Phool Gendava Na Maaro,Dooj Ka Chand,Bhairavi,not available.txt
Tu Ganga Ki Mauj,Baiju Bawra,Bhairavi,not available.txt
Ramaiya Vasta Vaiya,Shri 420,Bhairavi,not available.txt
Bhor Bhaye Panghat Pe,Satyam Shivam Sundaram,Bhairavi,not available.txt
Sakiya Aaj Mujhe Neend Nahi,,Bhairavi Sindh,not available.txt
Ajahun Na Aye Balma,Sanjh Aur Savera,Bhairavi Sindh,not available.txt
Chhod Gaye Balam,Barsaat,Bhairavi Sindh,not available.txt
Mehendi Laagi Mere Haath Mein,,Bhairavi Sindh,not available.txt
Ek Ritu Aaye Ek Ritu Jaaye,,Bhatiyar,not available.txt
Bansuri Bajaye Koi,,Bhimpalasi,not available.txt
Tum Suno Suno Ghanashyam,,Bhimpalasi,not available.txt
Main Garibon Ka Dil Hun Watan Ki Jaban,,Bhimpalasi,not available.txt
Tere Sadpe Balma,,Bhimpalasi,not available.txt
Duniya Se Ji Ghabra Gaya,,Bhimpalasi,not available.txt
Dil Ke Tukde Hue Aur Jigar Loot Gaya,,Bhimpalasi,not available.txt
Maine Chaand Aur Sitaron Ki,Chandrakanta,Bhimpalasi,not available.txt
Dilme Tujhe Bithake Pooja Karoongi Teri,Fakira,Bhimpalasi,not available.txt
O Nirdayi Preetam,Stree,Bhimpalasi,not available.txt
Bina Madhur Madhur Kacchu Bolu,,Bhimpalasi,not available.txt
Eri Main To Prem Diwani,Navbahar,Bhimpalasi,not available.txt
More Manka Bavra Panchi,,Bhimpalasi,not available.txt
Yeh Na Thi Hamari Kismat,Mirza Ghalib,Bhimpalasi,not available.txt
Naino Me Badra Chaye,Mera Saya,Bhimpalasi,not available.txt
Manbhora Hua Matwala,,Bhimpalasi,not available.txt
Bhulaya Na Gaya,,Bhimpalasi,not available.txt
Uda Jaa Re Kaaga,Chala Vaahi Des,Bhinna Shadja,not available.txt
Yeh Hava Yeh Fiza Aa Bhi Jaa,Gumraah,Bhoop / Bhup / Bhupali,not available.txt
Jyoti Kalash Chalake,Bhabhi Ki Chudiyan,Bhoop / Bhup / Bhupali,not available.txt
He Govind He Gopal He Dayalal,Ghazal,Bhoop / Bhup / Bhupali,not available.txt
Panchi Banu Udti Firun Masta,Chori Chori,Bhoop / Bhup / Bhupali,not available.txt
Mana Ki Musht-e-Khak Se Badhkar Nahin Hun Main,Ghazal,Bhoop / Bhup / Bhupali,not available.txt
Sayonara Sayonara,Love in Tokyo,Bhoop / Bhup / Bhupali,not available.txt
Dil Hoom Hoom Kare,Rudali,Bhoop / Bhup / Bhupali,not available.txt
Jab Neel Gagan Ki Chao Mein,Amrapali,Bhoop / Bhup / Bhupali,not available.txt
Jyoti Kalas Jalke,Bhabhi Ki Chudiyaan,Bhoop / Bhup / Bhupali,not available.txt
Hum Tum Se Na Kuch Keh Paye,Ziddi,Bhoop / Bhup / Bhupali,not available.txt
Savare Rang Rachi,Meera Bhajan,Bhoop / Bhup / Bhupali,not available.txt
Jaun Tore Charan Kamal Par Vari,Sur Sangam,Bhoop / Bhup / Bhupali,not available.txt
Sansar Ki Har Shai Ka,Dhund,Bhoop / Bhup / Bhupali,not available.txt
Ghalin Lotangan Vandin Charana,,Bhoop / Bhup / Bhupali,not available.txt
Chanda Hai Tu Mera Sooraj Hai Tu,Aradhana,Bhoop / Bhup / Bhupali,not available.txt
In Akhon Ki Masti Ke,Umrao Jaan,Bhoop / Bhup / Bhupali,not available.txt
Neelam Ke Nabh Chayi,Utsav,Bibhas (Bhairav Ang),not available.txt
Sanj Dhale Gagan Tale,Utsav,Bibhas (Bhairav Ang),not available.txt
Tere Sur Aur Mere Geet,Goonj Uthi Shehnai,Bihag,not available.txt
Pal Bhar Ki Pehchaan Aapse,Non-Filmi Song,Bihag,not available.txt
