saraswati,खमाज,night-2,औढव,षाढव,पंचम,रिषभ,saraswati.txt
saraswati-kedar,कल्याण,night-2,औढव,षाढव वक्र,मध्यम,षड्ज,saraswati-kedar.txt
shahana-kanada,काफी,night-3,सम्पूर्ण,सम्पूर्ण वक्र,पंचम,षड्ज,shahana-kanada.txt
shankara,बिलावल,night-2,औढव,षाढव वक्र,गंधार,निषाद,shankara.txt
shivranjani,काफी,mid-night,औढव,औढव,पंचम,षड्ज,shivranjani.txt
shobhawari,अज्ञात,day-2,औढव,औढव,,,shobhawari.txt
shriraag,पूर्वी,सूर्यास्त,औढव,सम्पूर्ण वक्र,रिषभ,पंचम,shriraag.txt
shuddha-kalyan,कल्याण,night-1,औढव,सम्पूर्ण वक्र,गंधार,धैवत,shuddha-kalyan.txt
shuddha-sarang,कल्याण,day-2,षाढव,षाढव,रिषभ,पंचम,shuddha-sarang.txt
shyam-kalyan,कल्याण,night-1,षाढव,सम्पूर्ण वक्र,षड्ज,मध्यम,shyam-kalyan.txt
sindhura,काफी,day-4,औढव,सम्पूर्ण,षड्ज,पंचम,sindhura.txt
sohani,मारवा,night-4,औढव,षाढव वक्र,धैवत,गंधार,sohani.txt
sundarkali,अज्ञात,day-2,औढव,औढव,,,sundarkali.txt
sundar-kauns,अज्ञात,night-2,औढव,औढव,,,sundar-kauns.txt
surdasi-malhar,काफी,rainy season,औढव,षाढव वक्र,मध्यम,षड्ज,surdasi-malhar.txt
tilak-kamod,खमाज,night-2,षाढव,सम्पूर्ण,षड्ज,पंचम,tilak-kamod.txt
tilang,खमाज,night-2,औढव,औढव,गंधार,निषाद,tilang.txt
tilang-bahar,अज्ञात,night-2,षाढव,संपूर्ण वक्र,,,tilang-bahar.txt
todi,तोड़ी,day-2,सम्पूर्ण,सम्पूर्ण,धैवत,गंधार,todi.txt
vachaspati,अज्ञात,day-4,औढव,सम्पूर्ण,,,vachaspati.txt
vibhas,भैरव,day-1,औढव,औढव,धैवत,रिषभ,vibhas.txt
yaman,कल्याण,night-1,सम्पूर्ण,सम्पूर्ण,गंधार,निषाद,yaman.txt
